<8> 21 => 9,28,32,33,34,36,39,40,41,42,43,44,45,46
<8> 20 => 4,5,8,9,25,26,27,28,31,32,33,34,39,40,41,42,43,44,45,46
<8> 1,4,5,7,8,9,10,13,27,28,29,31,32,33,34,35,36,41,42,43,44,45,46,48 => 6
<8> 0,2,3,4,5,8,9,11,14,16,25,26,27,28,31,32,33,34,41,42,43,44,45,46,47 => 29
<8> 2,3,4,5,7,8,9,11,14,25,26,27,28,29,31,32,33,34,35,41,42,43,44,45,46,47 => 16
<8> 19,28,32,33,34,39,40,41,42,43,44,45,46,47 => 9
<8> 0,5,17,27,28,30,31,32,33,34,36,40,41,42,43,44,45,46,48 => 4
<8> 5,19,26,27,28,31,32,33,34,35,39,40,41,42,43,44,45,46,48 => 25
<8> 5,19,25,26,27,28,31,32,33,34,35,39,40,41,42,43,44,45,46 => 48
<8> 7,8,9,19,27,28,31,32,33,34,35,39,40,41,42,43,44,45,46 => 5
<8> 5,9,10,13,18,27,28,32,33,34,35,40,41,42,43,44,45,46,47 => 29,36
<8> 4,5,6,7,8,9,18,27,28,29,30,32,33,34,36,40,41,42,43,44,45,46,47 => 0
<8> 0,4,5,8,9,27,28,29,31,32,33,34,37,39,40,41,42,43,44,45,46,47 => 16
<8> 1,4,5,8,9,17,26,27,28,30,32,33,34,35,36,40,41,42,43,44,45,46 => 25
<8> 0,4,5,7,8,9,11,14,26,27,28,31,32,33,34,37,40,41,42,43,44,45,46,48 => 39
<8> 0,3,4,5,7,8,9,11,14,26,27,28,31,32,33,34,37,40,41,42,43,44,45,46 => 25
<8> 2,3,4,5,8,9,25,26,27,28,29,31,32,33,34,37,40,41,42,43,44,45,46 => 39
<8> 5,7,8,9,18,25,26,27,28,29,31,32,33,34,39,40,41,42,43,44,45,46,48 => 6
<8> 0,4,5,8,9,26,27,28,31,32,33,34,37,39,40,41,42,43,44,45,46,47 => 25
<8> 4,5,8,9,10,13,26,27,28,31,32,33,34,37,39,40,41,42,43,44,45,46,47 => 25
<8> 4,5,6,7,8,9,18,26,27,28,29,30,31,32,33,34,39,40,41,42,43,44,45,46 => 3
<8> 0,2,3,4,5,8,9,11,14,25,26,27,28,31,32,33,34,39,40,41,42,43,44,45,46,47 => 29
<8> 1,5,8,9,17,26,27,28,30,31,32,33,34,35,36,40,41,42,43,44,45,46 => 10,13
<8> 5,7,8,9,18,25,26,27,28,29,31,32,33,34,36,40,41,42,43,44,45,46,48 => 6
<8> 1,5,7,8,9,10,13,25,26,27,28,29,31,32,33,34,35,36,40,41,42,43,44,45,46,48 => 6
<8> 5,7,8,9,25,26,27,28,29,30,31,32,33,34,35,36,39,40,41,42,43,44,45,46,48 => 6
<8> 0,4,5,6,7,8,9,18,26,27,28,29,31,32,33,34,36,39,40,41,42,43,44,45,46,47 => 3
<8> 3,4,5,7,8,9,26,27,28,29,30,31,32,33,34,35,36,39,40,41,42,43,44,45,46,48 => 6
<8> 3,4,5,6,7,8,9,18,26,27,28,29,31,32,33,34,36,39,40,41,42,43,44,45,46,47 => 0
